Timestamp,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
12/6/2016 1:00:05,"Bon Iver, 22, A Million","The Avett Brothers, True Sadness","Mudcrutch, 2","A Tribe Called Quest, we got it from here","David Bowie, Blackstar"
12/6/2016 10:01:49,"Chance the Rapper, Coloring Book","Childish Gambino, Awaken my Love!","Jim James, Eternally Even","A Tribe Called Quest, we got it from here thank you 4 your service","Weezer, white album"
12/5/2016 14:43:44,"The Hotelier, Goodness","Jouska, Topiary","Mothers, When you walk a long distance you are tired","A tribe called quest, we got it from here thank you 4 your service","Chance the rapper, Coloring Book"
12/5/2016 14:35:08,"Lucy Dacus, No Burden","Sturgill Simpson, A Sailor's Guide to Earth","Margo Price, Midwestern Farmer's Daughter","A Tribe Called Quest, We Got It From Here Thank You For Your Service","Frightened Rabbit, Painting of a Panic Attack"
12/12/2016 8:20:13,"Jack White, Acoustic Recordings","Beyoncé, Lemonade","Margo Price, Midwest Farmer's Daughter","A Tribe Called Quest, We got it from here thank you for your service ","Amanda Shires Isbell, My Piece of Land"
12/6/2016 0:58:05,"Kaytranada, 99.9%","Danny Brown, Atrocity Exhibition","Car Seat Headrest, Teens of Denial","A Tribe Called Quest, We got it from here, Thank u 4 your service","Radiohead, A moon shaped pool"
12/6/2016 17:11:01,"Oh Pep!, Stadium Cake","Beyonce, Lemonade","Anderson .Paak, Malibu","A Tribe Called Quest, We Got it from Here, Thank you 4 your service","Drake, Views"
12/12/2016 9:31:17,"Radiohead, A Moon Shaped Pool","Jim James, Eternally Even","Bon Iver, 22, A Million","A Tribe Called Quest, We Got It From Here, Thank You 4 Your Service","The Avalanches, Wildflower"
12/5/2016 12:59:12,"75 Dollar Bill, Wood/Metal/Plastic/Pattern/Rhythm/Rock","Quilt, Plaza","Angel Olsen, My Woman","A Tribe Called Quest, We Got It From Here.. Thank you 4 Your Service","Solange, A Seat at the Table"
12/6/2016 15:56:43,"Beyonce, Lemonade","Chance the Rapper, Coloring Book ","Anderson Paak, Malibu","A Tribe Called Quest, We got it from here...","Frank Ocean, Blonde"
12/6/2016 14:01:41,"Beyonce, LEMONADE","Frank Ocean, Blond","Chance the Rapper, Coloring Book","A Tribe Called Quest, We Got It From Here...","Solange, A Seat at the Table"
12/9/2016 22:53:38,"car seat headrest, teens of denial","sunflower bean, Human Ceremony","Glass Animals, How to Be a Human Being","A Tribe Called Quest, We Got it from Here...","Lucius, Good Grief"
12/5/2016 15:37:15,"Bon Iver, 22 A Million","Chance the Rapper, Coloring Book","Kanye West, The Life of Pablo","A Tribe Called Quest, We Got It From Here...","David Bowie, Blackstar"
12/8/2016 13:57:32,"Margo Price, Midwest Farmers Daughter","Mitski, Your Best American Girl"," Anderson .Paak, Malibu","A Tribe Called Quest, We Got It from Here... Thank You 4 Your Service","Dinosaur JR, Give a Glimpse of What Yer Not"
12/5/2016 19:33:01,"David Bowie, Blackstar","Solange, A Seat at the Table","Carseat Headrest, Teens of Denial","A Tribe Called Quest, We Got It from Here... Thank You 4 Your Service","Radiohead, A Moon Shaped Pool"
12/5/2016 16:21:08,"Frank Ocean, Blonde","Danny Brown, Atrocity Exhibition","Chance the Rapper, Coloring Book","A Tribe Called Quest, We got it from Here... Thank You 4 Your service","David Bowie, Blackstar"
12/8/2016 9:38:16,"Chance the Rapper, Coloring Book","Frank Ocean, Blonde","D.R.A.M., Big Baby D.R.A.M.","A Tribe Called Quest, We got it from Here... Thank You 4 Your service",
12/6/2016 8:24:54,"David Bowie, Blackstar","Radiohead, A Moon Shaped Pool","Danny Brown, Atrocity Exhibition","A Tribe Called Quest, We Got It From Here... Thank You 4 Your Service","Death Grips, Bottomless Pit"
12/5/2016 14:41:20,"Conor Oberst, Ruminations","DIIV, Is the is Are","Kevin Morby, Singing Saw","A Tribe Called Quest, We got it from Here... Thank You 4 Your service","Twin Peaks, Down in Heaven"
12/6/2016 1:31:25,"Frank Ocean, Blonde","Anderson .Paak, Malibu","Margaret Glaspy, Emotions and Math","A Tribe Called Quest, We got it from Here... Thank You 4 Your Service","Wilco, Schmilco"
12/5/2016 21:46:18,"Thao and the Get Down Stay Down, A Man Alive","Car Seat Headrest, Teens of Denial","Mitski, Puberty 2","A Tribe Called Quest, We Got It from Here... Thank You 4 Your Service","Noname, Telefone"
12/5/2016 16:02:51,"Bon Iver, 22, A Million","Frank Ocean, Blonde","clipping, splendor and misery","A Tribe Called Quest, we got it from here... thank you for your service","Jon Bellion, The Human Condition"
12/5/2016 13:06:26,"Frank Ocean, Blonde","Bon Iver, 22, A Million","David Bowie, Blackstar","A Tribe Called Quest, We got it from Here... Thank you for Your Service","Solange, A Seat at the Table"
12/10/2016 14:13:02,"Drive-by Truckers, American Band","case/lang/veirs, case/lang/veirs","David Bowie, Blackstar","A Tribe Called Quest, We Got It From Here....","Iggy Pop, Post Pop Depression"
12/6/2016 0:03:57,"Beyonce, Lemonade","Solange, A Seat at the Table","Mitsuki, Puberty 2","A Tribe Called Quest, We Got It From Here...Thank U 4 Your Service","David Bowie, Blackstar"
12/5/2016 20:53:29,"A Tribe Called Quest, We got it from Here...Thank You 4 Your service","A Tribe Called Quest, We got it from Here...Thank You 4 Your service","A Tribe Called Quest, We got it from Here...Thank You 4 Your service","A Tribe Called Quest, We got it from Here...Thank You 4 Your service","A Tribe Called Quest, We got it from Here...Thank You 4 Your service"
12/11/2016 21:51:36,"Various Artists, The Hamilton Mixtape","Radiohead, A Moon-Shaped Pool","Anderson .Paak, Malibu","A Tribe Called Quest, We Got It From Here...Thank You 4 Your Service","Bon Iver, 22, A Million"
12/6/2016 15:47:28,"Solange, A Seat at the Table","Anderson, .Paak, Malibu","Carrie Rodriguez, Lola","A Tribe Called Quest, We got it from Here...Thank You 4 Your service","Mitski, Puberty 2"
12/6/2016 15:49:57,"Solange, A Seat at the Table","Anderson, .Paak, Malibu","Carrie Rodriguez, Lola","A Tribe Called Quest, We got it from Here...Thank You 4 Your service","Mitski, Puberty 2"
12/12/2016 10:05:46,"Beyonce, Lemonade","Bon Iver, 22, A Million","Margo Price, Midwest Farmer's Daughter","A Tribe Called Quest, We got it from here...Thank you 4 your service","Awaken, My Love!, Childish Gambino"
12/6/2016 23:21:38,"Anderson .Paak, Malibu","David Bowie, Blackstar","ScHoolboy Q, Blankface LP","A Tribe Called Quest, We got it from Here...Thank You 4 Your service","Solange, A Seat at the Table"
12/6/2016 23:21:49,"Anderson .Paak, Malibu","David Bowie, Blackstar","ScHoolboy Q, Blankface LP","A Tribe Called Quest, We got it from Here...Thank You 4 Your service","Solange, A Seat at the Table"
12/6/2016 1:30:35,"Thao and the Get Down Stay Down, A Man Alive","Anderson Paak, Malibu","The Frightnrs, Nothing More To Say","A Tribe Called Quest, We Got It From Here...Thank You 4 Your Service","Reed Mathis, Beathoven "
12/9/2016 17:39:27,"Radiohead, A Moon Shaped Pool","James Blake, The Colour in Anything","Tycho, Epoch","A Tribe Called Quest, We got it from Here...Thank You 4 Your service","J. Cole, 4 Your Eyes Only"
12/6/2016 10:56:36,"Beyonce, Lemonade","Solange, A Seat at the Table","Miike Snow, iii","A Tribe Called Quest, We got it from Here...Thank Your 4 Your service  ","Pixies, Head Carrier"
12/5/2016 15:58:56,"Chance, Coloring Book","Beyonce ,Lemonade","Frank Ocean, Blonde","A Tribe Called Quest, We Got It From Herej",barbara hanniggan let me tell you
12/6/2016 11:57:53,"Solange, A Seat At The Table","David Bowie, Blackstar","Beyonce, Lemonade ","A Tribe Called Quest, We Got It Here.... Thank You 4 Your Service ","Leonard Cohen , You Want It Darker "
12/6/2016 3:31:45,Frank Ocean; Blond,"Kendrick Lamar; Untitled, unmastered",Kanye West; The Life of Pablo,A Tribe Called Quest; We got it from here...,J Cole; 4 Your Eyez Only
12/5/2016 15:06:09,"Kristin Kontrol, X-Communicate","Mitski, Puberty 2","Anderson .Paak, Malibuu",A Tribe Called Quest. We got it from Here ... Thanks 4 Your service,"David Bowie, Blackstar"
12/5/2016 12:53:24,Chelle Rose Blue Ridge Blood,Beyoncé - Lemonade,Drive-By Truckers - American Band,Aaron Lee Tasjan - Silver Tears,Jim Lauderdale - This Changes Everything
12/8/2016 4:46:50,"Macklemore & Ryan Lewis, This Unruly Mess I Made","David Bowie, Blackstar","Charles Bradley, Changes","Aaron Neville, Apache","Birds of Chicago, Real Midnight"
12/9/2016 16:49:22,"Childish Gambino, Awaken my love","Solange, A seat at the table","A Tribe Called Quest, We Got It From Here","Ab Soul, Do What Thou Wilt","Beyoncé, Lemonade"
12/7/2016 17:53:12,She Makes War: Direction of Travel,"Joseph: I'm alone, no you're not",Aurora: All my demons greeting me as a friend,ABC: Lexicon of love 2,Bats for lashes: The bride
12/12/2016 8:57:29,"Damien Jurado, Visions of Us on the Land","William Tyler, Modern Country","Explosions in the Sky, The Wilderness","Adam Torres, Pearls To Swine","Sam Beam & Jesca Hoop, Love Letter For Fire"
12/9/2016 11:07:18,"Damien Jurado, Visions of Us on the Land","Angel Olsen, My Woman","Jim James, Eternally Even","Adam Torres, Pearls to Swine",
12/6/2016 18:09:17,Adele,Adele,Adele,Adele,Adele
12/6/2016 14:49:06,"Adele, 25","Adele, 25","Adele, 25","Adele, 25","Adele, 25"
12/5/2016 15:11:28,"ZAYN, Mind of Mine","Beyonce, Lemonade","Bruno Mars, 24K Magic","Adele, 25","Drake, Views"
12/6/2016 9:19:11,"David Bowie, Blackstar","Lady GaGa, Joanne","Miranda Lambert, The Weight of these Wings","Adele, 25","Beyoncé, Lemonade"
12/7/2016 10:25:13,"Animal Collective, Painting With","Beyonce, Lemonade","Frank Ocean, Blonde","Adele,25","Bon Iver, 22 A Million"
12/6/2016 5:08:19,"David Bowie, Blackstar","Leonard Cohen, You Want It Darker","The Life of Pablo, Kanye West","Adore Life, Savages","Lemonade, Beyoncé "
12/6/2016 7:47:31,"Frank Ocean, Blonde ","David Bowie, Blackstar ","Danny Brown, Atrocity Exhibition","Aesop Rock, The Impossible Kid","Twin Peaks, Down in Heaven "
12/6/2016 14:01:55,"Bon Iver, 22, a million","Beyonce, Lemonade","Islands, Should I remain here at sea?","Aesop Rock, The Impossible Kid","The Avalanches, Wildflower"
12/5/2016 15:45:37,"Car Seat Headrest, Teens of Denial","Danny Brown, Atrocity Exhibition","Kanye West, Life of Pablo","Aesop Rock, The Impossible Kid","Deakin, Sleep Cycle"
12/6/2016 16:21:31,Car Seat Headrest	Teens of Denial,Eric Bachmann	Eric Bachmann,Sturgill Simpson	A Sailor's Guide To Earth,Against Me!	Shape Shift With ME,Drive By Truckers	American Band
12/6/2016 6:11:43,"Frightened Rabbit, Painting of a Panic Attack","Brian Fallon, Painkillers","Chuck Ragan, The Flame in the Flood","Against Me!, Shape Shift With Me","The Bouncing Souls, Simplicity"
12/8/2016 20:03:06,"Pinegrove, ""Cardinal""","Judah & the Lion, ""Folk Hop N' Roll""","St. Lucia, ""Matter""","Ages and Ages, ""Something to Ruin""","St. Lenox, ""Ten Hymns from My American Gothic"""
12/6/2016 10:16:32,"Pinegrove, Cardinal","Sleigh Bells, Jessica Rabbit","case/lang/veirs, case/lang/veirs","Ages and Ages, Something to Ruin","The Lumineers, Ophelia"
12/6/2016 8:09:04,"Big Thief, Masterpiece","Carrie Rodriguez, Lola","Paul Simon, Stranger to Stranger","Ages and Ages, Something to Ruin","Robert Ellis, Robert Ellis"
12/12/2016 5:00:29,"Lapsley, Long way home","Leonard Cohen, You want it darker","Beyonce, Lemonade","Agnes Obel, Citizen of Glass","Emma Pollock, In search of Harperfield"
12/9/2016 15:53:01,"Christine and the Queens, Chaleur Humaine","Schola Cantorum Reykjavik, Meditatio - Hvild","Lissie, My Wild West","Agnes Obel, Citizen of Glass","The Weeknd, Starboy"
12/7/2016 14:31:44,"Bowie, Black Star.","New Model Army, Winter.","P J Harvey, Hope Six Demolition Project.","Agnes Obel, Citizen of Glass.","She Makes War, Direction of Travel."
12/7/2016 14:32:31,"Bowie, Black Star.","New Model Army, Winter.","P J Harvey, Hope Six Demolition Project.","Agnes Obel, Citizen of Glass.","She Makes War, Direction of Travel."
12/5/2016 15:29:37,"Wild World, Bastille","Hard Love, Needtobreathe","22 a Million, Bon Iver","Air for Free, Relient K","The Ride, Catfish and the Bottlemen"
12/5/2016 19:48:54,"Wild World, Bastille","Hard Love, NeedtoBreathe","22 a Million, Bon Iver","Air for Free, Relient K","The Ride, Catfish and the Bottlemen"
12/6/2016 1:15:41,"Wild World, Bastille","Hard Love, Needtobreathe","22 a Million, Bon Iver","Air for Free, Relient K","The Ride, Catfish and the Bottlemen"
12/5/2016 16:21:42,"Inter Arma, Paradise Gallows","King Gizzard & The Wizard Lizard, Nonagon Infinity","Cobalt, Slow Forever","Alcest, Kodama","PUP, The Dream Is Over"
12/5/2016 13:30:49,"Drive by Truckers,American Band","Bob Mould, Patch the Sky","Luke Winslow King, Im Glad...","Alejandro Escobedo, Burn Something...","Descendents, Hypercaffium Spazzinate"
12/5/2016 14:53:41,"Drive-By Truckers, American Band","Robbie Fulks, Upland Stories","Courtney Marie Andrews, Honest Life","Alejandro Escovedo, Burn Something Beautiful","Parker Millsap, The Very Last Day"
12/5/2016 19:59:20,"Beyonce, Lemonade","Zayn, Mind of Mine","Troye Sivan, Blue Neighborhood","Alessia Cara, Know-It-All","Tori Kelly, Unbreakable Smile"
12/5/2016 14:49:48,"David Bowie, Blackstar","Junior Boys, Big Black Coat","Wilco, Schmilco","Alexis Taylor, Piano","Animal Collective, Painting with"
12/5/2016 13:13:46,Beyoncé lemonade,Solange a seat at the table,Rihanna anti,Alicia keys here,Lady Gaga joana 
12/7/2016 5:12:57,"Bon Iver, 22 a Million","Band of Horses, Why Are You OK","Anderson Paak, Malibu","Alicia Keys, Here","Gallant, Ology"
12/6/2016 2:01:28,"Beyonce, Lemonade ","Chance the Rapper, Coloring Book","Frank Ocean, Blonde","Alicia Keys, Here","Bruno Mars, 24k Magic"
12/10/2016 21:25:03,"A Tribe Called Quest, We Got It from Here... Thank You 4 Your Service","Gallant, Ology","Solange, A Seat at the Table","Alicia Keys, HERE","Descendents, Hypercaffium Spazzinate"
12/8/2016 16:09:20,"Leonard Cohen, You Want it Darker","Brandy Clark, Big Day in a Small Town","Dawes, We're All Gonna Die","Amanda Shires, My Piece of Land","Drive By Truckers, American Band"
12/6/2016 18:59:04,"Chilid Gambino, Awaken My Love","Sia, This Is Acting","Blink 182, California","American Football, American Football","Regina Spektor, Remember Us To Life"
12/5/2016 17:25:33,"Bloc Party, Hymns","Radiohead, A Moon Shaped Pool","Kanye West, The Life of Pablo ","American Football, American Football","Young Legionairre, Zero Worship"
12/9/2016 13:39:30,"David Bowie, Blackstar","Solange, A Seat at the Table","Rival Sons, Hollow Bones","American Football, American Football","Rolling Stones, Blue and Lonesome"
12/6/2016 0:58:26,"Nicolas Jaar, Sirens","Solange, A Seat at the Table","Frank Ocean, Blonde","American Football, American Football LP2","Chance the Rapper, Coloring Book"
12/5/2016 20:03:49,"David Bazan, Blanco","Dawes, We're All Gonna Die","Lucy Dacus, No Burden","American Football, S/T","Modern Baseball, Holy Ghost"
12/6/2016 16:44:26,"Tristan Harvey, Elephantintheroom","Celine Dion, Encore un soir","Daniel Freedman, Toby the Incredible Learned Pig","Amir, On Dirait","Vianney, Jem M'En Vais"
12/6/2016 14:40:31,Leonard  Cohen,Nora Jones ,John Prine,Amos Lee,Bruce Springsteen 
12/6/2016 3:02:45,"James Vincent McMorrow, We Move","Beyoncé, Lemonade ","Solange, A Seat At The Table","Amos Lee, Spirit ","Laura Mvula, The Dreaming Room"
12/8/2016 10:37:56,"Paper Route, Real Emotion","Frightened Rabbit, Painting of a Panic Attack","Chance the Rapper, Coloring Book","Anchor & Braille, Songs for the Late Night Drive Home","Grouplove, Big Mess"
12/12/2016 10:21:41,"Radiohead, A Moon Shaped Pool","The Lumineers, Cleopatra","James Vincent McMorrow, We Move","And the Kids, Friends Share Lovers","Andrew Bird, Are You Serious"
12/9/2016 10:16:48,Bon Iver - 22 A Million,Anohni - Hopelessness,The 1975 I Like . When You Sleep ,Anderson - Paak Malibu,Jamila Woods - Heavn
12/5/2016 16:39:10,Bocafloja - Cumbé,David Bowie - Blackstar,Los Fabulosos Cadillacs - La Salvación de Solo y Juan,Anderson .Paak - Malibu,Triángulo de Amor Bizarro - Salve Discordia
12/5/2016 18:46:12,"Pinegrove, Cardinal","The Hotelier, Goodness","Noname, Telefone",Anderson .Paak - Malibu,"William Tyler, Modern Country"
12/5/2016 19:43:42,"Noname, Telefone","Andy Shauf, The Party","Angel Olsen, My Woman","Anderson .Paak, Malibu","Frank Ocean, Blonde"
12/5/2016 16:58:44,"Lambchop, FLOTUS","Chance the Rapper, Coloring Book","ANOHNI, Hopelessness","Anderson .Paak, Malibu","Solange, A Seat at the Table"
12/6/2016 8:49:24,"Chance The Rapper, Coloring Book ","Bon Iver, 22, A Million","Beyonce, Lemonade","Anderson .Paak, Malibu","Kanye West, The Life of Pablo"
12/5/2016 17:42:02,"Radiohead, A Moon Shaped Pool","Childish Gambino, ""Awaken, My Love!""","Bon Iver, 22, A Million","Anderson .Paak, Malibu","David Bowie, Blackstar"
12/10/2016 14:10:52,"NAO, For All We Know","Kacey Musgraves, A Very Kacey Christmas","Chance the Rapper, Coloring Book","Anderson .Paak, Malibu","James Blake, The Colour in Everything "
12/10/2016 14:19:17,"NAO, For All We Know","Kacey Musgraves, A Very Kacey Christmas","Chance the Rapper, Coloring Book","Anderson .Paak, Malibu","James Blake, The Colour in Everything "
12/7/2016 6:29:21,"Bon Iver, 22 A Million","James Blake, The Colour In Anything","David Bowie, Black Star","Anderson .Paak, Malibu","A Tribe Called Quest, We Got It From Here... Thanks 4 The Service"
12/7/2016 16:33:30,"Car seat Headrest, Teens of Denial","Radiohead, A moon shaped pool","David Bowie, Black Star","Anderson .Paak, Malibu","Chance the rapper, Coloring Book"
12/6/2016 1:50:54,"Nxworries, Yes Lawd! ","King, We Are King","Gallant, Ology ","Anderson .Paak, Malibu","Bat for Lashes, The Bridee"
12/5/2016 18:47:30,"Saba, Bucket List Project","Chance the Rapper, Coloring Book","Kaytranada, 99.9%","Anderson .Paak, Malibu","Childish Gambino, Awaken My Love"
12/8/2016 10:14:58,"case lang veirs, case lang veirs","The Avalanches, Wildflower","Kaytranada, 99.9%","Anderson .Paak, Malibu","Chance the Rapper, Coloring Book"
12/5/2016 15:09:39,"Car Seat Headrest, Teens of Denial","Whitney, Light Upon The Lake","Kendrick Lamar, Untitled, Unmastered","Anderson .Paak, Malibu","Frank Ocean, Blond"
12/12/2016 10:28:48,"Frank Ocean, Blonde","David Bowie, Blackstar","Leonard Cohen, You Want It Darker","Anderson .Paak, Malibu","Radiohead, A Moon Shaped Pool"
12/8/2016 11:52:35,"Bon Iver, 22, A Million","Car Seat Headrest, Teens of Denial","Mitski, Puberty 2","Anderson .Paak, Malibu","Chance the Rapper, Coloring Book"
12/7/2016 0:30:04,"Car Seat Headrest, Teens of Denial","The Lemon Twigs, Do Hollywood","Radiohead, A Moon Shaped Pool","Anderson .Paak, Malibu",
12/5/2016 15:07:35,"Kaytranada, 99.9%","Noname, Telefone","Solange, A Seat at the Table","Anderson .Paak, Malibu","Angel Olsen, MY WOMAN"
12/5/2016 23:19:38,"Beyonce, Lemonade","Chance the Rapper, Coloring Book","Thao & The Get Down Stay Down, A Man Alive","Anderson .Paak, Malibu","Frank Ocean, Blonde"
12/6/2016 1:58:39,"Chance the Rapper, coloring book","Vince Staples, Primma Donna","The 1975, I like it when you sleep, for you are so beautiful yet so unaware","Anderson .Paak, Malibu","Schoolboy q, blank face "
12/6/2016 22:11:25,"Moderat, III","Richard Ashcroft, These People","Tycho, Epoch","Anderson .Paak, Malibu","Gold Panda, Good Luck and Do Your Best"
12/6/2016 22:11:55,"Moderat, III","Richard Ashcroft, These People","Tycho, Epoch","Anderson .Paak, Malibu","Gold Panda, Good Luck and Do Your Best"
12/5/2016 15:52:35,"The Avalanches, Wildflower","Chance The Rapper, Coloring Book",A Tribe Called Quest: We Got IT From Here... Thank You 4 Your Service,Anderson .Paak: Malibu,Frankie Cosmos: Next Thing
12/5/2016 15:52:35,"The Avalanches, Wildflower","Chance The Rapper, Coloring Book",A Tribe Called Quest: We Got IT From Here... Thank You 4 Your Service,Anderson .Paak: Malibu,Frankie Cosmos: Next Thing
12/9/2016 21:33:17,"kendrick lamar, how to pimp a butterfly","beyonce, lemonade","childish gambino, awaken, my love","anderson paak, malibou","alicia keys, here"
12/6/2016 13:15:36,"Chance the Rapper, Coloring Book","Leonard Cohen, You Want it Darker","Bon Iver, 22 A million","Anderson Paak, Malibu","David Bowie, Blackstar"
12/5/2016 14:35:35,"Frank Ocean, Blonde","Isaiah Rashad, The Sun's Tirade","Car Seat Headrest, Teens of Denial","Anderson Paak, Malibu","Radiohead, A Moon Shaped Pool"
12/8/2016 14:42:54,"A Tribe Called Quest, We got it from Here...Thank You 4 Your Service","Sarah Jarosz, Undercurrent","Chance the Rapper, Coloring Book","Anderson Paak, Malibu","Kanye West, Life of Pablo"
12/5/2016 14:51:12,"Beyonce, Lemonade","Solange, A Seat At the Table","Frank Ocean, Blond","Anderson Paak, Malibu","Lady Gaga, Joanne"
12/8/2016 22:33:07,"Beyonce, Lemonade","Radiohead, A Moon Shaped Pool","Iggy Pop, Post Pop Depression","Anderson Paak, Malibu","Parquet Courts, Human Performance"
12/8/2016 22:34:22,"Beyonce, Lemonade","Radiohead, A Moon Shaped Pool","Iggy Pop, Post Pop Depression","Anderson Paak, Malibu","Parquet Courts, Human Performance"
12/11/2016 2:21:18,"Beyonce, Lemonade","Radiohead, A Moon Shaped Pool","Iggy Pop, Post Pop Depression","Anderson Paak, Malibu","David Bowie, Blackstar"
12/11/2016 2:22:23,"Beyonce, Lemonade","Radiohead, A Moon Shaped Pool","Iggy Pop, Post Pop Depression","Anderson Paak, Malibu","Sturgill Simpson, A Sailor's Guide to Earth"
12/12/2016 9:13:48,"Nao, For All We Know","The Suffers, The Suffers","Joseph, I''m alone, no you're not","Anderson Paak, Malibu","NxWorries, YES LAWD! "
12/6/2016 21:57:08,"Gallant, Ology","The Hotelier, Goodness","Kaytranada, 99.9%","Anderson Paak, Malibu","Savages, Adore Life"
12/6/2016 13:43:19,"Beyonce, Lemonade","Solange, A Seat at the Table","Lizzo, Coconut Oil","Anderson Paak, Malibu","Vince Staples, Prima Donna"
